Age,Working Class,Education,Marital Status,Occupation,Gender,Capital Gain,Capital Loss,Hour per Week,Salary
18,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,15.0,<=7jt
29,Entrepreneur,Bachelor,Married,Machinery Supervisor,Male,102172000.0,0.0,40.0,>7jt
24,Entrepreneur,Senior High School,Single,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
40,Entrepreneur,Senior High School,Single,Other Services,Female,0.0,0.0,40.0,<=7jt
74,Entrepreneur,Senior High School,Widowed,Religious Leader,Male,0.0,31948000.0,35.0,>7jt
23,Entrepreneur,Junior High School,Single,Other Services,Female,0.0,0.0,30.0,<=7jt
51,Entrepreneur,Associate Degree,Single,Specialist,Female,0.0,0.0,40.0,<=7jt
22,Entrepreneur,Senior High School,Married,Other Services,Male,0.0,0.0,40.0,<=7jt
30,Entrepreneur,Senior High School,Single,Handicraft Refinement,Male,0.0,0.0,44.0,<=7jt
41,Country Government,Associate Degree,Married,Security,Male,0.0,0.0,40.0,<=7jt
37,State Government,Doctoral,Married,Specialist,Male,0.0,0.0,72.0,>7jt
23,Entrepreneur,Senior High School,Single,Executive Manager,Female,0.0,0.0,32.0,<=7jt
28,Local Government,Master,Married,Executive Manager,Female,0.0,20790000.0,40.0,>7jt
45,Entrepreneur,Associate Degree,Divorced,Executive Manager,Female,0.0,0.0,44.0,<=7jt
32,Entrepreneur,Associate Degree,Divorced,Sales,Male,0.0,0.0,50.0,>7jt
28,Entrepreneur,Master,Single,Sales,Male,0.0,0.0,42.0,<=7jt
57,Local Government,Master,Married,Specialist,Female,0.0,27678000.0,40.0,>7jt
52,Local Government,Senior High School,Widowed,Other Services,Female,0.0,0.0,20.0,<=7jt
74,Other,Senior High School,Married,Other Services,Male,94738000.0,0.0,6.0,<=7jt
19,Country Government,Senior High School,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
33,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
38,Corporate Freelance,Bachelor,Married,Sales,Male,0.0,0.0,40.0,>7jt
18,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,18.0,<=7jt
60,Other,Senior High School,Married,Other Services,Male,0.0,0.0,32.0,<=7jt
61,Entrepreneur,Elementary School,Separated,Driver,Male,200816000.0,0.0,40.0,>7jt
46,Entrepreneur,Bachelor,Separated,Specialist,Female,0.0,0.0,36.0,<=7jt
51,Entrepreneur,Junior High School,Married,Handicraft Refinement,Male,0.0,0.0,50.0,>7jt
23,Entrepreneur,Associate Degree,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
51,Local Government,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
58,Entrepreneur,Bachelor,Divorced,Handicraft Refinement,Female,0.0,0.0,20.0,<=7jt
62,Entrepreneur,Junior High School,Married,Executive Manager,Male,0.0,0.0,40.0,<=7jt
39,Entrepreneur,Senior High School,Separated,Executive Manager,Male,0.0,31612000.0,70.0,<=7jt
35,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
34,Entrepreneur,Senior High School,Married,Driver,Male,0.0,0.0,40.0,<=7jt
46,Entrepreneur,Senior High School,Married,Sales,Male,0.0,0.0,45.0,<=7jt
33,Entrepreneur,Bachelor,Single,Cleaning Service,Female,0.0,0.0,40.0,<=7jt
50,Entrepreneur,Elementary School,Married,Farmer,Male,0.0,0.0,40.0,<=7jt
47,Local Government,Senior High School,Divorced,Other Services,Male,0.0,0.0,40.0,<=7jt
57,Non-Corporate Freelance,Senior High School,Married,Other Services,Female,210336000.0,0.0,40.0,>7jt
20,Entrepreneur,Senior High School,Single,Other Services,Male,0.0,0.0,40.0,<=7jt
40,Non-Corporate Freelance,Professional School,Married,Specialist,Female,210336000.0,0.0,40.0,>7jt
30,Entrepreneur,Senior High School,Single,Cleaning Service,Female,1399986000.0,0.0,40.0,>7jt
36,State Government,Bachelor,Single,Executive Manager,Female,0.0,0.0,40.0,<=7jt
58,Entrepreneur,Senior High School,Divorced,Religious Leader,Female,0.0,0.0,40.0,<=7jt
34,Entrepreneur,Master,Married,Executive Manager,Male,0.0,26628000.0,50.0,>7jt
34,Entrepreneur,Associate Degree,Single,Driver,Male,0.0,0.0,40.0,<=7jt
17,Entrepreneur,Senior High School,Single,Sales,Male,0.0,0.0,12.0,<=7jt
70,Corporate Freelance,Bachelor,Widowed,Farmer,Female,0.0,0.0,6.0,<=7jt
56,Entrepreneur,Senior High School,Widowed,Machinery Supervisor,Female,0.0,0.0,40.0,<=7jt
60,Other,Senior High School,Widowed,Other Services,Male,0.0,0.0,35.0,<=7jt
63,Entrepreneur,Bachelor,Single,Religious Leader,Male,0.0,0.0,40.0,<=7jt
46,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,22106000.0,40.0,<=7jt
42,Entrepreneur,Bachelor,Married,Sales,Male,0.0,0.0,60.0,>7jt
32,Entrepreneur,Bachelor,Married,Sales,Male,0.0,27678000.0,44.0,>7jt
24,Non-Corporate Freelance,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
21,Other,Senior High School,Single,Other Services,Male,0.0,0.0,15.0,<=7jt
33,Entrepreneur,Bachelor,Married,Farmer,Male,0.0,0.0,40.0,<=7jt
63,Non-Corporate Freelance,Elementary School,Single,Sales,Female,0.0,0.0,3.0,<=7jt
45,Local Government,Bachelor,Married,Executive Manager,Male,0.0,0.0,40.0,>7jt
25,Entrepreneur,Associate Degree,Single,Religious Leader,Female,0.0,0.0,38.0,<=7jt
35,Entrepreneur,Senior High School,Separated,Driver,Male,0.0,0.0,40.0,<=7jt
90,Other,Elementary School,Widowed,Other Services,Female,0.0,0.0,40.0,<=7jt
26,Entrepreneur,Senior High School,Single,Other Services,Female,0.0,0.0,40.0,<=7jt
44,Entrepreneur,Bachelor,Single,Specialist,Male,389592000.0,0.0,40.0,>7jt
53,Local Government,Senior High School,Married,Executive Manager,Male,0.0,0.0,40.0,<=7jt
37,Entrepreneur,Master,Married,Sales,Male,0.0,0.0,50.0,>7jt
27,Corporate Freelance,Senior High School,Married,Religious Leader,Male,0.0,0.0,40.0,>7jt
44,Entrepreneur,Senior High School,Married,Religious Leader,Female,0.0,0.0,40.0,<=7jt
18,Entrepreneur,Senior High School,Single,Sales,Female,0.0,0.0,20.0,<=7jt
25,Entrepreneur,Senior High School,Single,Religious Leader,Female,0.0,0.0,30.0,<=7jt
24,Entrepreneur,Associate Degree,Single,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
46,Entrepreneur,Elementary School,Married,Other Services,Male,0.0,0.0,40.0,<=7jt
40,Entrepreneur,Bachelor,Married,Specialist,Male,0.0,0.0,44.0,>7jt
42,Local Government,Master,Single,Specialist,Male,0.0,0.0,40.0,<=7jt
47,Local Government,Associate Degree,Married,Executive Manager,Male,0.0,0.0,40.0,>7jt
44,Entrepreneur,Doctoral,Married,Executive Manager,Male,210336000.0,0.0,40.0,>7jt
41,Entrepreneur,Senior High School,Divorced,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
53,Entrepreneur,Bachelor,Married,Executive Manager,Male,0.0,0.0,60.0,>7jt
41,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,45.0,>7jt
26,Entrepreneur,Bachelor,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
64,Entrepreneur,Bachelor,Widowed,Specialist,Female,0.0,0.0,30.0,<=7jt
29,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,48.0,<=7jt
44,Non-Corporate Freelance,Senior High School,Married,Machinery Supervisor,Female,0.0,0.0,45.0,<=7jt
25,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
18,Entrepreneur,Senior High School,Single,Executive Manager,Female,0.0,0.0,35.0,<=7jt
31,Entrepreneur,Senior High School,Single,Machinery Supervisor,Male,0.0,0.0,50.0,<=7jt
27,Entrepreneur,Senior High School,Single,Handicraft Refinement,Female,0.0,0.0,45.0,<=7jt
49,Entrepreneur,Junior High School,Divorced,Machinery Supervisor,Female,0.0,0.0,40.0,<=7jt
47,Entrepreneur,Senior High School,Divorced,Driver,Female,0.0,0.0,40.0,<=7jt
33,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
34,Entrepreneur,Bachelor,Married,Executive Manager,Male,0.0,0.0,40.0,<=7jt
32,Entrepreneur,Professional School,Married,Specialist,Female,1399986000.0,0.0,60.0,>7jt
43,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,>7jt
32,Entrepreneur,Senior High School,Single,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
33,Local Government,Bachelor,Divorced,Security,Female,0.0,0.0,60.0,<=7jt
39,State Government,Senior High School,Single,Executive Manager,Female,0.0,0.0,45.0,<=7jt
37,Entrepreneur,Senior High School,Divorced,Religious Leader,Female,0.0,0.0,40.0,<=7jt
17,Other,Senior High School,Single,Other Services,Male,0.0,0.0,10.0,<=7jt
56,State Government,Bachelor,Married,Specialist,Male,0.0,0.0,40.0,>7jt
57,State Government,Bachelor,Married,Tech Support,Male,0.0,0.0,48.0,>7jt
36,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
63,Entrepreneur,Senior High School,Married,Cleaning Service,Male,0.0,0.0,40.0,<=7jt
26,Entrepreneur,Bachelor,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
42,Entrepreneur,Master,Single,Sales,Male,0.0,0.0,65.0,<=7jt
59,Entrepreneur,Senior High School,Married,Sales,Male,0.0,0.0,40.0,<=7jt
35,Entrepreneur,Professional School,Married,Specialist,Male,0.0,0.0,75.0,>7jt
42,Entrepreneur,Bachelor,Married,Other Services,Male,0.0,0.0,40.0,<=7jt
57,Country Government,Senior High School,Divorced,Executive Manager,Female,0.0,0.0,50.0,<=7jt
43,State Government,Master,Married,Specialist,Male,0.0,0.0,40.0,>7jt
33,Entrepreneur,Senior High School,Single,Sales,Female,0.0,0.0,35.0,<=7jt
45,Local Government,Bachelor,Divorced,Security,Male,0.0,0.0,40.0,>7jt
29,Entrepreneur,Bachelor,Single,Religious Leader,Female,0.0,0.0,35.0,<=7jt
26,Entrepreneur,Bachelor,Single,Executive Manager,Male,0.0,0.0,50.0,<=7jt
45,Entrepreneur,Junior High School,Single,Machinery Supervisor,Female,0.0,0.0,42.0,<=7jt
62,Entrepreneur,Junior High School,Married,Specialist,Male,0.0,0.0,20.0,<=7jt
51,Entrepreneur,Junior High School,Married,Sales,Male,0.0,0.0,40.0,<=7jt
21,Entrepreneur,Senior High School,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
31,Entrepreneur,Senior High School,Single,Driver,Male,0.0,0.0,40.0,<=7jt
28,Local Government,Master,Single,Specialist,Female,0.0,0.0,50.0,<=7jt
39,Entrepreneur,Senior High School,Divorced,Handicraft Refinement,Male,30436000.0,0.0,40.0,<=7jt
31,Entrepreneur,Senior High School,Single,Religious Leader,Male,30436000.0,0.0,40.0,<=7jt
35,Entrepreneur,Bachelor,Single,Executive Manager,Male,0.0,0.0,45.0,<=7jt
27,Entrepreneur,Senior High School,Single,Cleaning Service,Male,0.0,0.0,40.0,<=7jt
18,Corporate Freelance,Senior High School,Single,Farmer,Male,0.0,0.0,50.0,<=7jt
43,Corporate Freelance,Associate Degree,Married,Executive Manager,Male,0.0,0.0,50.0,>7jt
31,Entrepreneur,Senior High School,Single,Executive Manager,Male,0.0,0.0,40.0,<=7jt
57,Entrepreneur,Senior High School,Married,Driver,Male,0.0,0.0,60.0,>7jt
24,Entrepreneur,Bachelor,Single,Specialist,Male,0.0,0.0,40.0,<=7jt
63,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,30.0,<=7jt
30,Local Government,Bachelor,Married,Security,Male,0.0,0.0,72.0,>7jt
35,Non-Corporate Freelance,Associate Degree,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
44,Non-Corporate Freelance,Bachelor,Married,Farmer,Male,0.0,0.0,90.0,<=7jt
30,Entrepreneur,Senior High School,Single,Other Services,Female,0.0,0.0,32.0,<=7jt
29,Entrepreneur,Bachelor,Single,Sales,Male,0.0,0.0,45.0,<=7jt
37,Corporate Freelance,Professional School,Married,Specialist,Male,0.0,0.0,50.0,>7jt
29,Non-Corporate Freelance,Junior High School,Married,Farmer,Male,0.0,0.0,72.0,<=7jt
36,Local Government,Bachelor,Married,Specialist,Male,0.0,0.0,35.0,>7jt
23,Entrepreneur,Bachelor,Single,Driver,Male,0.0,0.0,40.0,<=7jt
24,Entrepreneur,Senior High School,Single,Cleaning Service,Male,0.0,0.0,40.0,<=7jt
32,Country Government,Professional School,Married,Specialist,Male,0.0,0.0,75.0,>7jt
34,Entrepreneur,Associate Degree,Married,Religious Leader,Male,0.0,0.0,28.0,<=7jt
35,Entrepreneur,Bachelor,Single,Executive Manager,Female,0.0,0.0,50.0,>7jt
49,Non-Corporate Freelance,Professional School,Married,Specialist,Male,210336000.0,0.0,35.0,>7jt
34,Entrepreneur,Senior High School,Married,Executive Manager,Male,0.0,0.0,40.0,<=7jt
75,Entrepreneur,Bachelor,Married,Executive Manager,Male,0.0,0.0,24.0,<=7jt
47,State Government,Senior High School,Married,Driver,Male,0.0,0.0,50.0,>7jt
74,Non-Corporate Freelance,Senior High School,Widowed,Other Services,Male,0.0,0.0,20.0,<=7jt
35,Country Government,Master,Married,Specialist,Male,0.0,0.0,75.0,<=7jt
52,Entrepreneur,Senior High School,Divorced,Handicraft Refinement,Male,0.0,0.0,47.0,<=7jt
31,Entrepreneur,Bachelor,Single,Sales,Male,0.0,0.0,60.0,<=7jt
18,Entrepreneur,Senior High School,Single,Machinery Supervisor,Male,0.0,0.0,21.0,<=7jt
63,Non-Corporate Freelance,Senior High School,Married,Other Services,Male,0.0,0.0,40.0,>7jt
33,Entrepreneur,Senior High School,Separated,Other Services,Female,0.0,0.0,40.0,<=7jt
33,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
41,Local Government,Bachelor,Married,Specialist,Male,0.0,0.0,45.0,>7jt
37,Entrepreneur,Senior High School,Single,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
34,Entrepreneur,Bachelor,Single,Specialist,Female,0.0,0.0,45.0,<=7jt
41,Entrepreneur,Senior High School,Divorced,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
30,Entrepreneur,Bachelor,Single,Other Services,Male,0.0,0.0,55.0,<=7jt
41,Entrepreneur,Bachelor,Married,Specialist,Male,0.0,0.0,40.0,>7jt
31,Entrepreneur,Junior High School,Single,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
35,Entrepreneur,Bachelor,Single,Handicraft Refinement,Male,0.0,0.0,35.0,<=7jt
43,Non-Corporate Freelance,Senior High School,Married,Sales,Male,0.0,0.0,40.0,<=7jt
22,Entrepreneur,Senior High School,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
48,Corporate Freelance,Doctoral,Married,Executive Manager,Male,0.0,0.0,40.0,>7jt
52,Entrepreneur,Bachelor,Divorced,Executive Manager,Male,0.0,0.0,40.0,<=7jt
39,Entrepreneur,Bachelor,Married,Executive Manager,Male,210336000.0,0.0,60.0,>7jt
26,Non-Corporate Freelance,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,50.0,<=7jt
18,Entrepreneur,Senior High School,Single,Cleaning Service,Female,0.0,0.0,20.0,<=7jt
37,Entrepreneur,Professional School,Married,Sales,Male,0.0,0.0,45.0,>7jt
55,Entrepreneur,Bachelor,Widowed,Religious Leader,Female,0.0,0.0,40.0,<=7jt
35,Non-Corporate Freelance,Associate Degree,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
24,Entrepreneur,Associate Degree,Divorced,Other Services,Female,0.0,0.0,22.0,<=7jt
29,Entrepreneur,Senior High School,Single,Religious Leader,Female,0.0,0.0,55.0,<=7jt
31,Local Government,Senior High School,Single,Machinery Supervisor,Male,0.0,0.0,64.0,<=7jt
45,Entrepreneur,Master,Married,Specialist,Male,0.0,0.0,50.0,<=7jt
23,Entrepreneur,Bachelor,Single,Sales,Male,0.0,0.0,55.0,<=7jt
41,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,>7jt
38,Non-Corporate Freelance,Bachelor,Single,Handicraft Refinement,Male,0.0,0.0,30.0,<=7jt
71,Entrepreneur,Associate Degree,Married,Machinery Supervisor,Male,0.0,0.0,28.0,<=7jt
24,Entrepreneur,Senior High School,Single,Other Services,Female,0.0,0.0,20.0,<=7jt
36,Entrepreneur,Master,Married,Specialist,Male,0.0,0.0,40.0,<=7jt
36,Entrepreneur,Associate Degree,Divorced,Handicraft Refinement,Male,0.0,0.0,38.0,<=7jt
76,Entrepreneur,Senior High School,Widowed,Other Services,Male,0.0,0.0,17.0,<=7jt
22,Entrepreneur,Senior High School,Single,Sales,Male,0.0,0.0,40.0,<=7jt
55,Non-Corporate Freelance,Bachelor,Married,Specialist,Female,0.0,0.0,8.0,<=7jt
60,Other,Senior High School,Married,Other Services,Male,0.0,25872000.0,40.0,>7jt
52,Other,Associate Degree,Married,Other Services,Male,0.0,0.0,50.0,>7jt
43,Country Government,Senior High School,Married,Specialist,Male,0.0,0.0,40.0,<=7jt
48,Local Government,Associate Degree,Single,Security,Male,0.0,0.0,48.0,<=7jt
38,Entrepreneur,Junior High School,Married,Handicraft Refinement,Male,0.0,0.0,36.0,<=7jt
42,Entrepreneur,Elementary School,Separated,Cleaning Service,Female,0.0,0.0,40.0,<=7jt
35,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
42,Entrepreneur,Senior High School,Married,Executive Manager,Male,0.0,0.0,35.0,>7jt
38,Local Government,Bachelor,Married,Specialist,Female,107632000.0,0.0,40.0,>7jt
90,Entrepreneur,Senior High School,Single,Other Services,Female,0.0,0.0,40.0,<=7jt
55,Corporate Freelance,Bachelor,Married,Sales,Male,1399986000.0,0.0,60.0,>7jt
29,Entrepreneur,Associate Degree,Single,Executive Manager,Male,0.0,0.0,25.0,<=7jt
42,Entrepreneur,Senior High School,Married,Executive Manager,Male,0.0,0.0,48.0,<=7jt
34,Entrepreneur,Junior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
18,Non-Corporate Freelance,Senior High School,Single,Sales,Male,0.0,0.0,48.0,<=7jt
25,Entrepreneur,Bachelor,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
29,Entrepreneur,Senior High School,Married,Sales,Male,0.0,0.0,40.0,>7jt
36,Corporate Freelance,Bachelor,Single,Tech Support,Male,389592000.0,0.0,55.0,>7jt
40,Entrepreneur,Master,Married,Executive Manager,Male,0.0,0.0,50.0,>7jt
33,Entrepreneur,Senior High School,Separated,Sales,Female,0.0,0.0,20.0,<=7jt
42,Entrepreneur,Bachelor,Divorced,Specialist,Male,0.0,0.0,40.0,<=7jt
30,Local Government,Bachelor,Married,Security,Male,0.0,0.0,40.0,<=7jt
31,Local Government,Senior High School,Single,Security,Male,0.0,0.0,40.0,<=7jt
43,Entrepreneur,Elementary School,Single,Sales,Male,0.0,0.0,40.0,<=7jt
39,Non-Corporate Freelance,Senior High School,Married,Executive Manager,Male,0.0,0.0,60.0,>7jt
21,Other,Elementary School,Married,Other Services,Female,0.0,0.0,40.0,<=7jt
49,Entrepreneur,Master,Married,Executive Manager,Male,210336000.0,0.0,50.0,>7jt
58,Entrepreneur,Elementary School,Married,Religious Leader,Male,0.0,0.0,40.0,<=7jt
46,Entrepreneur,Bachelor,Married,Sales,Male,0.0,0.0,40.0,>7jt
46,Entrepreneur,Senior High School,Married,Specialist,Male,0.0,0.0,40.0,<=7jt
46,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
28,Entrepreneur,Senior High School,Single,Executive Manager,Female,0.0,0.0,40.0,<=7jt
60,Entrepreneur,Associate Degree,Married,Sales,Male,0.0,0.0,30.0,<=7jt
32,Entrepreneur,Senior High School,Single,Machinery Supervisor,Male,0.0,0.0,40.0,<=7jt
82,Entrepreneur,Elementary School,Widowed,Other Services,Male,0.0,0.0,20.0,<=7jt
58,Corporate Freelance,Professional School,Divorced,Specialist,Male,0.0,0.0,70.0,>7jt
30,Other,Associate Degree,Single,Other Services,Male,0.0,0.0,30.0,<=7jt
41,Entrepreneur,Senior High School,Married,Machinery Supervisor,Male,0.0,0.0,40.0,>7jt
39,Entrepreneur,Associate Degree,Divorced,Religious Leader,Female,0.0,0.0,40.0,<=7jt
36,Corporate Freelance,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,46.0,>7jt
48,Entrepreneur,Senior High School,Single,Religious Leader,Female,0.0,0.0,40.0,<=7jt
57,Corporate Freelance,Senior High School,Married,Sales,Male,0.0,0.0,40.0,<=7jt
55,Entrepreneur,Senior High School,Married,Specialist,Female,0.0,0.0,40.0,<=7jt
47,Entrepreneur,Senior High School,Separated,Sales,Female,0.0,0.0,52.0,<=7jt
66,Non-Corporate Freelance,Senior High School,Widowed,Executive Manager,Female,0.0,0.0,84.0,>7jt
35,Entrepreneur,Senior High School,Married,Driver,Male,0.0,0.0,60.0,<=7jt
31,Entrepreneur,Senior High School,Married,Handicraft Refinement,Male,0.0,0.0,40.0,<=7jt
51,Non-Corporate Freelance,Master,Married,Specialist,Female,0.0,0.0,30.0,>7jt
52,Entrepreneur,Junior High School,Married,Cleaning Service,Male,0.0,0.0,40.0,<=7jt
